Speaker	Vowel	Context	F1/S(F1)	F2/S(F2)	F1g/S(F1g)	F2g/S(F2g)
1523	BAT	abby	1.925	1.16	NA	NA
1523	HAPPY	abby	0.825	1.778	NA	NA
1523	THOUGHT	taught	1.508	0.784	NA	NA
1523	HAPPY	the	0.814	1.816	NA	NA
1523	HAPPY	importance	0.885	1.742	NA	NA
1523	THOUGHT	importance	1.392	1.03	NA	NA
1523	BAT	importance	1.612	1.111	NA	NA
1523	THOUGHT	of	1.167	0.954	NA	NA
1523	THOUGHT	posture	0.932	0.718	NA	NA
1523	BAT	posture	1.289	1.018	NA	NA
1523	BAT	and	1.471	1.255	NA	NA
1523	THOUGHT	composure	1.014	0.627	NA	NA
1523	HOAX	composure	0.859	0.661	NA	NA
1523	BAT	composure	1.24	0.92	NA	NA
1523	HAPPY	the	0.596	1.395	NA	NA
1523	FOOT	european	0.875	1.281	NA	NA
1523	THOUGHT	european	1.267	0.787	NA	NA
1523	FLEECE	european	1.069	1.431	NA	NA
1523	BAT	european	1.997	1.486	NA	NA
1523	DRESS	netherlands	1.613	1.33	NA	NA
1523	BAT	netherlands	1.474	1.117	NA	NA
1523	BAT	netherlands	1.811	1.206	NA	NA
1523	HAPPY	is	0.798	1.762	NA	NA
1523	GLARE	shared	1.182	1.319	NA	NA
1523	HAPPY	between	0.798	1.485	NA	NA
1523	FLEECE	between	0.859	1.7	NA	NA
1523	HAPPY	the	1.027	1.659	NA	NA
1523	BAT	atlantic	1.6	1.237	NA	NA
1523	BAT	atlantic	1.83	1.142	NA	NA
1523	HAPPY	atlantic	0.961	1.746	NA	NA
1523	FOOT	european	0.8	1.253	NA	NA
1523	THOUGHT	european	1.034	0.884	NA	NA
1523	FLEECE	european	0.889	1.597	NA	NA
1523	BAT	european	1.539	1.318	NA	NA
1523	DRESS	and	1.608	1.301	NA	NA
1523	DRESS	central	1.38	1.313	NA	NA
1523	BAT	central	0.971	1.118	NA	NA
1523	FOOT	european	0.75	1.089	NA	NA
1523	THOUGHT	european	0.943	0.842	NA	NA
1523	FLEECE	european	1.205	1.312	NA	NA
1523	BAT	european	1.451	1.347	NA	NA
1523	THOUGHT	provinces	0.788	0.744	NA	NA
1523	HAPPY	provinces	0.817	1.38	NA	NA
1523	DRESS	provinces	0.846	1.381	NA	NA
1523	GIRL	turned	1.886	1.132	NA	NA
1523	STEW	to	0.915	1.501	NA	NA
1523	HAPPY	historical	0.976	1.448	NA	NA
1523	THOUGHT	historical	1.04	1.174	NA	NA
1523	HAPPY	historical	1.058	1.024	NA	NA
1523	BAT	historical	1.061	0.667	NA	NA
1523	HAPPY	pictures	0.981	1.411	NA	NA
1523	DRESS	pictures	1.136	1.179	NA	NA
1523	THOUGHT	from	1.154	0.847	NA	NA
1523	BAT	around	1.28	0.854	NA	NA
1523	STEW	to	1.151	1.152	NA	NA
1523	BAT	avoid	1.445	0.923	NA	NA
1523	THOUGHT	confrontations	1.231	0.602	NA	NA
1523	THOUGHT	confrontations	1.201	1.311	NA	NA
1523	FACE	confrontations	0.831	1.765	NA	NA
1523	THOUGHT	confrontations	1.241	1.198	NA	NA
1523	HAPPY	with	0.754	1.257	NA	NA
1523	HAPPY	the	2.105	1.385	NA	NA
1523	FLEECE	breen	0.997	1.759	NA	NA
1523	THOUGHT	office	1.108	0.591	NA	NA
1523	HAPPY	office	0.908	1.498	NA	NA
1523	HOAX	over	1.066	0.71	NA	NA
1523	BAT	over	1.408	1.111	NA	NA
1523	BAT	the	1.055	1.154	NA	NA
1523	THOUGHT	following	1.023	0.671	NA	NA
1523	HOAX	following	1.257	0.793	NA	NA
1523	HAPPY	following	1.022	1.697	NA	NA
1523	HAPPY	years	0.932	1.563	NA	NA
1523	BAT	years	1.07	1.282	NA	NA
1523	THOUGHT	of	0.948	0.932	NA	NA
1523	HAPPY	civil	0.837	1.588	NA	NA
1523	HAPPY	civil	0.632	0.714	NA	NA
1523	THOUGHT	war	0.937	0.518	NA	NA
1523	HAPPY	syria	1.037	1.606	NA	NA
1523	HAPPY	syria	1.216	1.18	NA	NA
1523	BAT	syria	1.514	0.963	NA	NA
1523	THOUGHT	fought	1.027	0.626	NA	NA
1523	THOUGHT	for	1.129	0.698	NA	NA
1523	THOUGHT	control	1.013	0.866	NA	NA
1523	HOAX	control	0.885	0.678	NA	NA
1523	HOAX	over	0.943	0.59	NA	NA
1523	BAT	over	1.323	0.928	NA	NA
1523	DRESS	lebanon	1.235	1.374	NA	NA
1523	BAT	lebanon	1.582	0.944	NA	NA
1523	YOU	lebanon	1.209	0.976	NA	NA
1523	THOUGHT	continued	1.557	1.055	NA	NA
1523	HAPPY	continued	0.763	1.62	NA	NA
1523	STEW	continued	1.185	1.597	NA	NA
1523	THOUGHT	conversation	1.495	0.85	NA	NA
1523	BAT	conversation	1.23	1.154	NA	NA
1523	FACE	conversation	0.924	1.636	NA	NA
1523	THOUGHT	conversation	1.207	1.283	NA	NA
1523	HAPPY	is	0.984	1.585	NA	NA
1523	THOUGHT	currently	1.676	0.886	NA	NA
1523	DRESS	currently	1.216	1.174	NA	NA
1523	HAPPY	currently	1.057	1.692	NA	NA
1523	BAT	available	1.239	1.279	NA	NA
1523	FACE	available	0.854	1.648	NA	NA
1523	BAT	available	0.904	1.451	NA	NA
1523	FOOT	available	0.815	0.581	NA	NA
1523	HAPPY	in	0.771	1.439	NA	NA
1523	HAPPY	english	1.095	1.857	NA	NA
1523	HAPPY	english	0.892	1.564	NA	NA
1523	THOUGHT	for	1.031	0.781	NA	NA
1523	DRESS	regular	1.284	1.284	NA	NA
1523	FOOT	regular	0.996	1.317	NA	NA
1523	BAT	regular	1.403	1.238	NA	NA
1523	STEW	users	0.671	1.428	NA	NA
1523	BAT	users	1.107	1.256	NA	NA
1523	BAT	and	1.798	1.151	NA	NA
1523	THOUGHT	all	1.389	1.08	NA	NA
1523	HAPPY	english	1.226	1.7	NA	NA
1523	HAPPY	english	0.816	1.662	NA	NA
1523	HOAX	locales	0.916	0.81	NA	NA
1523	BAT	locales	1.548	0.957	NA	NA
1523	STEW	throughout	0.991	0.907	NA	NA
1523	BAT	the	0.848	0.934	NA	NA
1523	THOUGHT	world	1.054	0.677	NA	NA
1523	THOUGHT	for	0.993	0.742	NA	NA
1523	HAPPY	internal	0.928	1.605	NA	NA
1523	GIRL	internal	1.857	1.113	NA	NA
1523	BAT	internal	1.629	1.245	NA	NA
1523	STEW	googlers	0.813	0.775	NA	NA
1523	FOOT	googlers	0.775	0.885	NA	NA
1523	BAT	googlers	1.041	1.183	NA	NA
1523	HAPPY	it	0.841	1.531	NA	NA
1523	THOUGHT	was	1.07	1.146	NA	NA
1523	BAT	the	1.039	1.307	NA	NA
1523	DRESS	second	1.616	1.226	NA	NA
1523	THOUGHT	second	1.537	1.15	NA	NA
1523	HAPPY	indonesia	1.012	1.759	NA	NA
1523	HOAX	indonesia	0.901	1.45	NA	NA
1523	FLEECE	indonesia	0.895	1.845	NA	NA
1523	BAT	indonesia	1.383	1.219	NA	NA
1523	HOAX	hosted	0.907	0.809	NA	NA
1523	DRESS	hosted	1.303	1.46	NA	NA
1523	BAT	an	1.642	1.375	NA	NA
1523	FACE	asia	0.932	1.807	NA	NA
1523	BAT	asia	1.453	1.208	NA	NA
1523	DRESS	level	1.484	1.241	NA	NA
1523	DRESS	level	0.809	0.666	NA	NA
1523	THOUGHT	multi	1.198	0.549	NA	NA
1523	HAPPY	multi	0.546	1.65	NA	NA
1523	THOUGHT	sport	1.104	0.613	NA	NA
1523	HAPPY	event	0.714	1.625	NA	NA
1523	DRESS	event	1.368	1.348	NA	NA
1523	BAT	after	1.788	1.086	NA	NA
1523	BAT	after	1.476	1.238	NA	NA
1523	BAT	jakarta	1.307	1.128	NA	NA
1523	BAT	jakarta	1.677	1.051	NA	NA
1523	BAT	jakarta	1.697	1.186	NA	NA
1523	DRESS	held	1.434	1.294	NA	NA
1523	HAPPY	the	0.78	1.575	NA	NA
1523	FACE	asian	0.87	1.769	NA	NA
1523	BAT	asian	1.301	1.424	NA	NA
1523	FACE	games	0.993	1.803	NA	NA
1523	THOUGHT	one	1.66	0.775	NA	NA
1523	FACE	way	1.01	1.773	NA	NA
1523	THOUGHT	on	1.561	0.967	NA	NA
1523	BAT	american	1.589	1.2	NA	NA
1523	DRESS	american	1.588	1.285	NA	NA
1523	HAPPY	american	1.065	1.341	NA	NA
1523	BAT	american	1.237	1.449	NA	NA
1523	GLARE	airlines	1.408	1.433	NA	NA
1523	THOUGHT	from	1.173	0.778	NA	NA
1523	THOUGHT	montreal	1.192	0.775	NA	NA
1523	HAPPY	montreal	1.031	1.24	NA	NA
1523	THOUGHT	montreal	1.018	0.701	NA	NA
1523	STEW	to	1.007	1.285	NA	NA
1523	BAT	cardiff	1.794	1.044	NA	NA
1523	HAPPY	cardiff	0.921	1.621	NA	NA
1523	FLEECE	leaving	0.825	1.769	NA	NA
1523	HAPPY	leaving	0.989	1.607	NA	NA
1523	DRESS	september	1.105	1.318	NA	NA
1523	DRESS	september	1.49	1.398	NA	NA
1523	BAT	september	1.223	1.044	NA	NA
1523	BAT	start	1.655	0.963	NA	NA
1523	BAT	at	1.928	1.157	NA	NA
1523	HOAX	most	1.15	1.035	NA	NA
1523	THOUGHT	of	1.062	1.202	NA	NA
1523	BAT	the	1.037	1.17	NA	NA
1523	THOUGHT	countries	1.713	0.957	NA	NA
1523	HAPPY	countries	0.602	1.682	NA	NA
1523	BAT	that	1.357	1.204	NA	NA
1523	THOUGHT	border	0.981	0.621	NA	NA
1523	BAT	border	1.295	1.328	NA	NA
1523	HAPPY	the	0.817	1.258	NA	NA
1523	GIRL	persian	1.337	1.176	NA	NA
1523	BAT	persian	1.522	1.236	NA	NA
1523	THOUGHT	gulf	1.163	0.815	NA	NA
1523	BAT	have	1.839	1.034	NA	NA
1523	BAT	vast	1.785	1.038	NA	NA
1523	HAPPY	reserves	0.596	1.697	NA	NA
1523	GIRL	reserves	1.18	1.163	NA	NA
1523	THOUGHT	of	1.008	0.924	NA	NA
1523	STEW	crude	0.71	0.885	NA	NA
1523	THOUGHT	bourne	1.591	0.644	NA	NA
1523	HAPPY	intended	1.249	1.849	NA	NA
1523	DRESS	intended	1.625	1.408	NA	NA
1523	DRESS	intended	1.464	1.514	NA	NA
1523	STEW	to	1.009	1.377	NA	NA
1523	BAT	arrange	1.549	1.047	NA	NA
1523	FACE	arrange	0.991	1.811	NA	NA
1523	HAPPY	the	0.835	1.579	NA	NA
1523	GIRL	murder	1.293	1.082	NA	NA
1523	BAT	murder	1.317	1.333	NA	NA
1523	STEW	to	0.894	1.342	NA	NA
1523	FOOT	look	1.002	1.074	NA	NA
1523	FLEECE	he	0.669	1.866	NA	NA
1523	THOUGHT	was	1.119	0.943	NA	NA
1523	HAPPY	killed	0.937	1.518	NA	NA
1523	BAT	a	0.995	1.721	NA	NA
1523	STEW	crew	0.829	1.09	NA	NA
1523	DRESS	member	1.518	1.354	NA	NA
1523	BAT	member	1.368	1.245	NA	NA
1523	STEW	to	1.049	1.245	NA	NA
1523	BAT	avoid	1.292	1.101	NA	NA
1523	YOU	suspicion	1.09	1.022	NA	NA
1523	HAPPY	suspicion	0.988	1.43	NA	NA
1523	THOUGHT	suspicion	1.319	1.208	NA	NA
1523	HAPPY	hilary	1.297	1.359	NA	NA
1523	BAT	hilary	1.438	1.276	NA	NA
1523	HAPPY	hilary	0.996	1.665	NA	NA
1523	THOUGHT	ponce	1.626	0.742	NA	NA
1523	BAT	daphne	1.765	1.186	NA	NA
1523	HAPPY	daphne	0.809	1.88	NA	NA
1523	BAT	caster	1.934	1.097	NA	NA
1523	BAT	caster	1.494	1.308	NA	NA
1523	BAT	and	1.718	1.281	NA	NA
1523	DRESS	elizabeth	1.512	1.442	NA	NA
1523	HAPPY	elizabeth	0.94	1.367	NA	NA
1523	BAT	elizabeth	0.327	1.16	NA	NA
1523	DRESS	elizabeth	1.229	1.329	NA	NA
1523	DRESS	brett	1.406	1.359	NA	NA
1523	HAPPY	received	0.88	1.527	NA	NA
1523	FLEECE	received	0.761	1.954	NA	NA
1523	BAT	the	0.964	1.38	NA	NA
1523	GIRL	diversity	1.517	1.209	NA	NA
1523	HAPPY	diversity	0.8	1.449	NA	NA
1523	HAPPY	diversity	0.65	1.879	NA	NA
1523	BAT	and	1.779	1.234	NA	NA
1523	HAPPY	inclusion	0.775	1.937	NA	NA
1523	STEW	inclusion	0.609	1.706	NA	NA
1523	THOUGHT	inclusion	1.124	1.292	NA	NA
1523	BAT	award	1.86	1.037	NA	NA
1523	THOUGHT	award	1.017	0.75	NA	NA
1523	HAPPY	in	0.903	1.441	NA	NA
1523	HAPPY	disney	0.78	1.799	NA	NA
1523	HAPPY	disney	0.657	1.125	NA	NA
1523	BAT	achieved	3.526	2.046	NA	NA
1523	FLEECE	achieved	0.877	1.787	NA	NA
1523	HAPPY	its	1.105	0.745	NA	NA
1523	BAT	largest	1.275	1.177	NA	NA
1523	HAPPY	largest	0.564	1.276	NA	NA
1523	HAPPY	yearly	0.797	1.052	NA	NA
1523	BAT	yearly	1.577	0.87	NA	NA
1523	HAPPY	yearly	1.336	1.237	NA	NA
1523	THOUGHT	box	0.952	1.467	NA	NA
1523	THOUGHT	office	2.187	2.049	NA	NA
1523	HAPPY	office	0.874	1.465	NA	NA
1523	HOAX	gross	1.168	0.841	NA	NA
1523	THOUGHT	worldwide	0.972	0.525	NA	NA
1523	BAT	and	1.747	1.335	NA	NA
1523	HAPPY	in	1.321	1.76	NA	NA
1523	THOUGHT	north	1.618	0.868	NA	NA
1523	BAT	america	1.282	1.17	NA	NA
1523	DRESS	america	1.523	1.317	NA	NA
1523	HAPPY	america	1.068	1.145	NA	NA
1523	BAT	america	1.858	1.013	NA	NA
1523	HAPPY	the	1.442	1.352	NA	NA
1523	THOUGHT	tropical	1.163	0.881	NA	NA
1523	HAPPY	tropical	0.888	1.353	NA	NA
1523	BAT	tropical	1.808	0.922	NA	NA
1523	BAT	savanna	1.349	1.109	NA	NA
1523	BAT	savanna	1.8	0.926	NA	NA
1523	BAT	savanna	1.863	1.13	NA	NA
1523	HAPPY	climate	1.004	1.729	NA	NA
1523	HAPPY	in	1.071	1.503	NA	NA
1523	DRESS	central	1.478	1.388	NA	NA
1523	BAT	central	1.115	0.975	NA	NA
1523	HAPPY	nigeria	0.814	1.51	NA	NA
1523	HAPPY	nigeria	1.218	1.448	NA	NA
1523	BAT	nigeria	1.387	1.179	NA	NA
1523	HAPPY	beginning	0.682	1.759	NA	NA
1523	HAPPY	beginning	0.889	1.836	NA	NA
1523	HAPPY	beginning	0.91	1.834	NA	NA
1523	THOUGHT	from	1.194	0.903	NA	NA
1523	HAPPY	december	0.935	1.442	NA	NA
1523	DRESS	december	1.386	1.29	NA	NA
1523	BAT	december	1.349	1.117	NA	NA
1523	STEW	to	1	1.341	NA	NA
1523	BAT	march	1.502	0.84	NA	NA
1523	HAPPY	is	0.914	1.475	NA	NA
1523	THOUGHT	hot	1.048	0.642	NA	NA
1523	BAT	and	1.773	0.753	NA	NA
1523	HAPPY	with	0.924	1.301	NA	NA
1523	BAT	the	1.689	1.273	NA	NA
1523	HAPPY	wind	1.028	1.708	NA	NA
1523	HAPPY	he	0.745	1.88	NA	NA
1523	HAPPY	is	0.785	1.542	NA	NA
1523	DRESS	best	1.752	1.358	NA	NA
1523	HOAX	known	1.188	1.325	NA	NA
1523	THOUGHT	for	1.09	0.911	NA	NA
1523	HAPPY	his	0.811	1.573	NA	NA
1523	FOOT	book	0.944	0.735	NA	NA
1523	THOUGHT	on	1.384	0.665	NA	NA
1523	DRESS	persuasion	1.183	1.211	NA	NA
1523	FACE	persuasion	0.861	1.499	NA	NA
1523	THOUGHT	persuasion	1.038	1.234	NA	NA
1523	BAT	and	1.62	1.105	NA	NA
1523	BAT	marketing	1.787	0.912	NA	NA
1523	HAPPY	marketing	1.105	1.576	NA	NA
1523	HAPPY	marketing	0.761	1.646	NA	NA
1523	HAPPY	influence	0.918	1.77	NA	NA
1523	YOU	influence	0.943	0.735	NA	NA
1523	DRESS	influence	1.172	1.226	NA	NA
1523	HAPPY	the	0.846	1.512	NA	NA
1523	THOUGHT	psychology	1.441	0.795	NA	NA
1523	THOUGHT	psychology	1.112	1.162	NA	NA
1523	HAPPY	psychology	0.66	1.741	NA	NA
1523	THOUGHT	of	1.227	0.774	NA	NA
1523	DRESS	persuasion	1.162	1.307	NA	NA
1523	FACE	persuasion	0.763	1.507	NA	NA
1523	THOUGHT	persuasion	1.107	1.106	NA	NA
1523	HAPPY	the	0.932	1.228	NA	NA
1523	HOAX	noble	1.362	0.826	NA	NA
1523	FOOT	noble	0.892	0.656	NA	NA
1523	DRESS	metals	1.463	1.299	NA	NA
1523	BAT	metals	1.369	1.083	NA	NA
1523	BAT	are	1.553	0.978	NA	NA
1523	DRESS	metals	1.446	1.319	NA	NA
1523	BAT	metals	1.369	1.02	NA	NA
1523	BAT	that	1.289	1.01	NA	NA
1523	BAT	are	1.552	1.072	NA	NA
1523	HAPPY	resistant	0.782	1.401	NA	NA
1523	HAPPY	resistant	0.931	1.263	NA	NA
1523	BAT	resistant	1.704	1.063	NA	NA
1523	STEW	to	0.793	1.193	NA	NA
1523	THOUGHT	corrosion	0.932	0.748	NA	NA
1523	HOAX	corrosion	0.894	0.838	NA	NA
1523	THOUGHT	corrosion	1.171	0.983	NA	NA
1523	BAT	and	1.807	1.064	NA	NA
1523	HAPPY	in	1.109	1.747	NA	NA
1523	GLARE	air	1.163	1.584	NA	NA
1523	HOAX	note	1.366	1.152	NA	NA
1523	BAT	that	1.471	1.268	NA	NA
1523	BAT	the	1.191	1.277	NA	NA
1523	BAT	power	1.755	0.909	NA	NA
1523	THOUGHT	button	1.31	0.79	NA	NA
1523	YOU	button	1.053	1.488	NA	NA
1523	THOUGHT	on	1.293	0.759	NA	NA
1523	BAT	the	1.117	1.263	NA	NA
1523	DRESS	left	1.572	1.386	NA	NA
1523	HAPPY	earbud	0.959	1.762	NA	NA
1523	BAT	earbud	1.297	1.476	NA	NA
1523	THOUGHT	earbud	1.175	0.678	NA	NA
1523	HAPPY	will	0.8	0.582	NA	NA
1523	FLEECE	be	0.652	1.66	NA	NA
1523	STEW	to	0.663	1.499	NA	NA
1523	FLEECE	be	0.55	1.833	NA	NA
1523	STEW	used	0.672	1.461	NA	NA
1523	BAT	as	1.748	1.2	NA	NA
1523	HAPPY	the	0.826	1.665	NA	NA
1523	STEW	google	0.849	0.707	NA	NA
1523	FOOT	google	0.885	0.637	NA	NA
1523	BAT	assistant	1.453	1.219	NA	NA
1523	HAPPY	assistant	0.907	1.283	NA	NA
1523	BAT	assistant	1.24	1.336	NA	NA
1523	THOUGHT	button	1.075	0.674	NA	NA
1523	YOU	button	0.912	1.458	NA	NA
1523	HAPPY	the	0.54	1.176	NA	NA
1523	DRESS	relish	1.427	1.157	NA	NA
1523	HAPPY	relish	1.186	1.528	NA	NA
1523	HAPPY	is	0.899	1.444	NA	NA
1523	FACE	based	0.925	1.729	NA	NA
1523	THOUGHT	on	1.798	1.57	NA	NA
1523	BAT	a	1.138	1.315	NA	NA
1523	DRESS	preparation	0.829	1.426	NA	NA
1523	BAT	preparation	1.008	1.052	NA	NA
1523	FACE	preparation	0.837	1.654	NA	NA
1523	THOUGHT	preparation	1.279	1.157	NA	NA
1523	THOUGHT	of	1.286	0.766	NA	NA
1523	HAPPY	typical	0.976	1.387	NA	NA
1523	HAPPY	typical	0.81	1.183	NA	NA
1523	BAT	typical	1.285	0.79	NA	NA
1523	BAT	and	1	1.289	NA	NA
1523	DRESS	spices	0.764	1.433	NA	NA
1523	THOUGHT	watch	1.571	0.869	NA	NA
1523	HAPPY	this	1.02	1.374	NA	NA
1523	FACE	space	0.851	1.737	NA	NA
1523	BAT	had	1.985	1.13	NA	NA
1523	THOUGHT	strong	1.652	0.816	NA	NA
1523	BAT	national	1.884	1.15	NA	NA
1523	THOUGHT	national	0.64	1.388	NA	NA
1523	BAT	national	1.398	0.917	NA	NA
1523	BAT	and	1.726	1.159	NA	NA
1523	HAPPY	international	1.072	1.71	NA	NA
1523	BAT	international	1.344	1.263	NA	NA
1523	BAT	international	1.806	1.072	NA	NA
1523	BAT	international	0.627	1.259	NA	NA
1523	BAT	international	1.133	0.837	NA	NA
1523	HAPPY	relationships	0.799	1.343	NA	NA
1523	FACE	relationships	0.792	1.772	NA	NA
1523	THOUGHT	relationships	1.323	1.199	NA	NA
1523	HAPPY	relationships	0.86	1.44	NA	NA
1523	HAPPY	with	0.813	1.435	NA	NA
1523	FLEECE	leading	0.589	1.495	NA	NA
1523	HAPPY	leading	0.723	1.843	NA	NA
1523	DRESS	and	1.607	1.417	NA	NA
1523	HAPPY	emerging	0.95	1.769	NA	NA
1523	GIRL	emerging	1.162	1.246	NA	NA
1523	HAPPY	emerging	0.754	1.673	NA	NA
1523	THOUGHT	companies	1.539	0.653	NA	NA
1523	BAT	companies	0.303	1.183	NA	NA
1523	HAPPY	companies	0.763	1.842	NA	NA
1523	THOUGHT	working	1.234	0.878	NA	NA
1523	HAPPY	working	0.821	1.796	NA	NA
1523	HAPPY	in	0.74	0.464	NA	NA
1523	DRESS	many	1.224	1.624	NA	NA
1523	HAPPY	many	0.616	1.906	NA	NA
1523	HAPPY	different	0.84	1.532	NA	NA
1523	DRESS	different	1.119	1.137	NA	NA
1523	DRESS	different	1.384	1.405	NA	NA
1523	BAT	aspects	1.876	1.195	NA	NA
1523	DRESS	aspects	1.191	1.37	NA	NA
1523	THOUGHT	of	1.194	0.945	NA	NA
1523	HAPPY	the	0.738	1.77	NA	NA
1523	THOUGHT	outdoor	1.074	0.744	NA	NA
1523	BAT	arts	1.611	0.823	NA	NA
1523	DRESS	sector	1.227	1.253	NA	NA
1523	THOUGHT	sector	1.038	0.803	NA	NA
1523	FLEECE	wheat	0.944	1.698	NA	NA
1523	HAPPY	is	0.925	1.491	NA	NA
1523	BAT	a	0.956	1.49	NA	NA
1523	BAT	grass	1.636	1.075	NA	NA
1523	HAPPY	widely	1.057	1.744	NA	NA
1523	THOUGHT	cultivated	1.051	0.641	NA	NA
1523	HAPPY	cultivated	0.8	1.416	NA	NA
1523	FACE	cultivated	0.853	1.645	NA	NA
1523	DRESS	cultivated	1.172	1.443	NA	NA
1523	THOUGHT	for	1.007	0.648	NA	NA
1523	HAPPY	its	0.815	1.648	NA	NA
1523	FLEECE	seed	0.578	1.969	NA	NA
1523	BAT	a	1.006	1.747	NA	NA
1523	HAPPY	cereal	0.812	1.682	NA	NA
1523	HAPPY	cereal	1.185	0.852	NA	NA
1523	BAT	cereal	1.2	0.763	NA	NA
1523	FACE	grain	1.01	1.68	NA	NA
1523	HAPPY	which	0.918	1.624	NA	NA
1523	HAPPY	is	0.83	1.54	NA	NA
1523	BAT	a	0.852	1.589	NA	NA
1523	THOUGHT	worldwide	1.023	0.595	NA	NA
1523	FACE	staple	0.811	1.775	NA	NA
1523	FOOT	staple	0.73	0.564	NA	NA
1523	STEW	food	0.612	0.554	NA	NA
1523	HAPPY	in	1.072	1.811	NA	NA
1523	THOUGHT	one	1.788	0.791	NA	NA
1523	GIRL	version	1.327	1.078	NA	NA
1523	THOUGHT	version	1.351	1.239	NA	NA
1523	THOUGHT	of	1.217	0.954	NA	NA
1523	HAPPY	this	0.862	1.511	NA	NA
1523	DRESS	technique	1.209	1.478	NA	NA
1523	FLEECE	technique	0.813	1.939	NA	NA
1523	BAT	a	0.894	1.763	NA	NA
1523	THOUGHT	conductive	1.4	0.838	NA	NA
1523	THOUGHT	conductive	1.498	0.878	NA	NA
1523	HAPPY	conductive	0.845	1.652	NA	NA
1523	FLEECE	sheet	0.616	1.84	NA	NA
1523	THOUGHT	under	0.858	0.832	NA	NA
1523	BAT	under	1.303	1.317	NA	NA
1523	DRESS	test	1.474	1.37	NA	NA
1523	HAPPY	is	0.955	1.464	NA	NA
1523	FACE	placed	0.937	1.664	NA	NA
1523	HAPPY	between	0.75	1.508	NA	NA
1523	FLEECE	between	0.797	1.757	NA	NA
1523	STEW	two	0.737	1.078	NA	NA
1523	HOAX	no	1.357	1.142	NA	NA
1523	FACE	nation	1.039	1.846	NA	NA
1523	THOUGHT	nation	1.323	1.409	NA	NA
1523	BAT	can	1.909	1.118	NA	NA
1523	THOUGHT	long	1.515	0.688	NA	NA
1523	HAPPY	endure	1.286	1.595	NA	NA
1523	THOUGHT	endure	1.141	1.114	NA	NA
1523	HAPPY	the	0.897	1.708	NA	NA
1523	THOUGHT	of	1.088	0.972	NA	NA
1523	HAPPY	the	0.809	1.396	NA	NA
1523	DRESS	best	1.28	1.359	NA	NA
1523	THOUGHT	of	1.193	0.855	NA	NA
1523	HAPPY	its	0.889	1.384	NA	NA
1523	THOUGHT	young	1.212	0.834	NA	NA
1523	FLEECE	people	0.715	1.899	NA	NA
1523	FOOT	people	0.962	0.667	NA	NA
1523	THOUGHT	judge	1.144	1.156	NA	NA
1523	HOAX	roll	1.197	0.689	NA	NA
1523	THOUGHT	was	1.082	0.793	NA	NA
1523	BAT	a	0.936	1.26	NA	NA
1523	HAPPY	widely	0.868	1.624	NA	NA
1523	HAPPY	respected	0.915	1.419	NA	NA
1523	DRESS	respected	1.324	1.337	NA	NA
1523	DRESS	respected	1.143	1.422	NA	NA
1523	FOOT	jurist	0.685	1.374	NA	NA
1523	HAPPY	jurist	0.847	1.537	NA	NA
1523	BAT	a	0.92	1.75	NA	NA
1523	THOUGHT	strong	1.62	0.865	NA	NA
1523	BAT	and	1.088	1.517	NA	NA
1523	FACE	able	0.968	1.863	NA	NA
1523	FOOT	able	0.869	0.685	NA	NA
1523	FLEECE	leader	0.722	1.815	NA	NA
1523	BAT	leader	1.106	1.491	NA	NA
1523	THOUGHT	of	1.269	0.988	NA	NA
1523	HAPPY	his	0.699	1.71	NA	NA
1523	THOUGHT	court	1.014	0.613	NA	NA
1523	BAT	and	1.958	1.143	NA	NA
1523	BAT	a	0.781	1.895	NA	NA
1523	THOUGHT	courteous	1.103	0.822	NA	NA
1523	HAPPY	courteous	0.875	1.267	NA	NA
1523	YOU	courteous	1.08	1.234	NA	NA
1523	DRESS	and	1.563	1.137	NA	NA
1523	HAPPY	sincere	0.863	1.46	NA	NA
1523	HAPPY	sincere	0.88	1.658	NA	NA
1523	BAT	sincere	1.182	1.487	NA	NA
1523	DRESS	gentleman	1.237	1.504	NA	NA
1523	FOOT	gentleman	1.069	1.053	NA	NA
1523	BAT	gentleman	1.411	0.799	NA	NA
1523	THOUGHT	on	1.551	0.85	NA	NA
1523	HAPPY	devices	1.096	1.444	NA	NA
1523	DRESS	devices	0.895	0.825	NA	NA
1523	HAPPY	with	0.873	1.22	NA	NA
1523	FOOT	your	0.874	1.364	NA	NA
1523	BAT	your	1.259	1.036	NA	NA
1523	BAT	app	1.784	1.122	NA	NA
1523	HAPPY	includes	0.873	1.737	NA	NA
1523	STEW	includes	0.813	1.422	NA	NA
1523	BAT	advertising	1.517	1.242	NA	NA
1523	BAT	advertising	1.278	1.181	NA	NA
1523	HAPPY	advertising	0.952	1.609	NA	NA
1523	THOUGHT	or	1.138	0.646	NA	NA
1523	THOUGHT	promotion	0.796	0.846	NA	NA
1523	HOAX	promotion	0.792	0.864	NA	NA
1523	THOUGHT	promotion	1.212	1.302	NA	NA
1523	BAT	that	1.324	1.271	NA	NA
1523	HOAX	does	1.098	0.909	NA	NA
1523	THOUGHT	not	1.44	0.67	NA	NA
1523	THOUGHT	comply	1.522	1.661	NA	NA
1523	HAPPY	with	1.016	1.303	NA	NA
1523	BAT	our	1.561	0.826	NA	NA
1523	THOUGHT	policy	1.251	0.737	NA	NA
1523	HAPPY	policy	0.921	1.426	NA	NA
